"drug","n_components","n_matched","partial_match","manual_classification","review_note"
"belumosudil mesilate",1,0,FALSE,"Y","CHECK: Manual review needed"
"doxecitine;doxribtimine",2,1,TRUE,"Y","CHECK: Manual review needed"
"iptacopan  monohydrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"lutetium  oxodotreotide",1,0,FALSE,"Y","CHECK: Manual review needed"
"eflornithine  monohydrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"givinostat  monohydrate",1,0,FALSE,"Y","CHECK: Manual review needed"
"resminostat mesilate",1,0,FALSE,"Y","CHECK: Manual review needed"
"budesonide + micronised",1,0,FALSE,"Y","CHECK: Manual review needed"
"phenylbutyrate;ursodoxicoltaurine",2,0,FALSE,"Y","CHECK: Manual review needed"
"amphotericin b lipid complex",1,0,FALSE,"Y","CHECK: Manual review needed"
"artemether/lumefantrine",1,0,FALSE,"Y","CHECK: Manual review needed"
"bendamustine for 50 ml admixture",1,0,FALSE,"Y","CHECK: Manual review needed"
"benzoate and phenylacetate",1,0,FALSE,"Y","CHECK: Manual review needed"
"bicarbonate infusate",1,0,FALSE,"Y","CHECK: Manual review needed"
"birch triterpenes",1,0,FALSE,"Y","CHECK: Manual review needed"
"brilliant blue g ophthalmic solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"buprenorphine in combination with naloxone",1,0,FALSE,"Y","CHECK: Manual review needed"
"calcium + magnesium + potassium + and  oxybates",1,0,FALSE,"Y","CHECK: Manual review needed"
"cedazuridine and decitabine",1,0,FALSE,"Y","CHECK: Manual review needed"
"colfosceril palmitate + cetyl alcohol + tyloxapol",1,0,FALSE,"Y","CHECK: Manual review needed"
"cromolyn   ophthalmic solution",1,0,FALSE,"Y","CHECK: Manual review needed"
"cysteamine enteric coated",1,0,FALSE,"Y","CHECK: Manual review needed"
"cytarabine liposomal",1,0,FALSE,"Y","CHECK: Manual review needed"
"d6-tetrabenazine + deutetrabenazine",1,0,FALSE,"Y","CHECK: Manual review needed"
